Title,Director,Cast,Genre,comb
santosham,Dasaradh,"Akkineni Nagarjuna, Gracy Singh, Prabhu Deva, Shriya Saran",Drama,"Dasaradh Akkineni Nagarjuna, Gracy Singh, Prabhu Deva, Shriya Saran Drama"
vendi mabbulu,Raviraja Pinisetty,"Balayya, Pulakit, Anil, Mona Chopra, Meghana Naidu, Mitika",Romance,"Raviraja Pinisetty Balayya, Pulakit, Anil, Mona Chopra, Meghana Naidu, Mitika Romance"
lahiri lahiri lahirilo,Y. V. S. Chowdary,"Nandamuri Harikrishna, Bhanupriya, Rachana Banerjee, Ankitha",Drama,"Y. V. S. Chowdary Nandamuri Harikrishna, Bhanupriya, Rachana Banerjee, Ankitha Drama"
jayam,Teja,"Nitin, Sadha, Tottempudi Gopichand",Action / Romance,"Teja Nitin, Sadha, Tottempudi Gopichand Action / Romance"
manasunte chaalu,Jonnalagadda Srinivasa Rao,"Sai Kiran, Sivaji, Jennifer Kotwal",Romance,"Jonnalagadda Srinivasa Rao Sai Kiran, Sivaji, Jennifer Kotwal Romance"
mounamelanoyi,Shyam Prasad,"Sachin, Sampadha, Chalapathi Rao",Romance,"Shyam Prasad Sachin, Sampadha, Chalapathi Rao Romance"
nee thodu kavali,Bheemaneni Srinivas Rao,"Deepak, Charmy Kaur, Rimi Sen",Romance,"Bheemaneni Srinivas Rao Deepak, Charmy Kaur, Rimi Sen Romance"
vasu,A. Karunakaran,"Venkatesh, Bhoomika Chawla",Romance,"A. Karunakaran Venkatesh, Bhoomika Chawla Romance"
priyadarshini,Dhavala Mallik,"Surya Vamsi, Sunitha Varma, Brahmanandam",Drama,"Dhavala Mallik Surya Vamsi, Sunitha Varma, Brahmanandam Drama"
aaduthu paaduthu,Devi Prasad,"Srikanth, Sunil, Gayatri Jayaraman",Romance,"Devi Prasad Srikanth, Sunil, Gayatri Jayaraman Romance"
bejawada police station,Chimakurthi Hari Babu,"Keshav, Shilpa Shivanand, Brahmaji, Ali, Chinna",Drama,"Chimakurthi Hari Babu Keshav, Shilpa Shivanand, Brahmaji, Ali, Chinna Drama"
friends,unknown,"Sivaji, Ali",Comedy,"unknown Sivaji, Ali Comedy"
narahari,Thriller Manju,"Sai Kumar, Thriller Manju, Sreedevi",Action,"Thriller Manju Sai Kumar, Thriller Manju, Sreedevi Action"
aadi,V. V. Vinayak,"Jr. NTR, Keerthi Chawla",Action,"V. V. Vinayak Jr. NTR, Keerthi Chawla Action"
tagore,V. V. Vinayak,"Chiranjeevi, Jyothika, Shriya Saran",Action / Drama,"V. V. Vinayak Chiranjeevi, Jyothika, Shriya Saran Action / Drama"
aadanthe ado type,E. V. V. Satyanarayana,"Sivaji, Aryan Rajesh, Bhoomika Chawla, Anitha Hassandhani",Comedy,"E. V. V. Satyanarayana Sivaji, Aryan Rajesh, Bhoomika Chawla, Anitha Hassandhani Comedy"
okato number kurradu,A. Kodandarami Reddy,"Nandamuri Taraka Ratna, Rekha Vedavyas, Brahmanandam",Action / Romance,"A. Kodandarami Reddy Nandamuri Taraka Ratna, Rekha Vedavyas, Brahmanandam Action / Romance"
pellamtho panenti,S. V. Krishna Reddy,"Venu Thottempudi, Laya, Kalyani",Comedy,"S. V. Krishna Reddy Venu Thottempudi, Laya, Kalyani Comedy"
janaki weds sriram,Anji,"Rohith, Gajala, Rekha Vedavyas",Romance,"Anji Rohith, Gajala, Rekha Vedavyas Romance"
oka radha iddaru krishnula pelli,G. Nageswara Reddy,"Srikanth, Prabhu Deva, Namitha, Tanikella Bharani, Chandra Mohan",Comedy,"G. Nageswara Reddy Srikanth, Prabhu Deva, Namitha, Tanikella Bharani, Chandra Mohan Comedy"
vishnu,Shaji Kailas,"Vishnu Manchu, Vedhika, Neetu Chandra",Action / Romance,"Shaji Kailas Vishnu Manchu, Vedhika, Neetu Chandra Action / Romance"
neeku nenu naaku nuvvu,Raja Shekar,"Uday Kiran, Shriya Saran, Krishnam Raju, Suman",Romance,"Raja Shekar Uday Kiran, Shriya Saran, Krishnam Raju, Suman Romance"
charminar,Sagar,"Venkat, Abhirami, Prakash Raj",Romance,"Sagar Venkat, Abhirami, Prakash Raj Romance"
anaganaga o kurradu,L P Ramarao,"Rohith, Rekha Vedavyas, Rajiv Kanikala",Romance,"L P Ramarao Rohith, Rekha Vedavyas, Rajiv Kanikala Romance"
ela cheppanu,Ramana,"Tarun, Shriya Saran, Sunil",Romance,"Ramana Tarun, Shriya Saran, Sunil Romance"
simhachalam,Indra Kumar,"Srihari, Meena, Prakash Raj, Suresh, Sunil",Action,"Indra Kumar Srihari, Meena, Prakash Raj, Suresh, Sunil Action"
dongodu,Bheemineni Srinivas,"Ravi Teja, Kalyani, Rekha Vedavyas, Tanikella Bharani",Action / Comedy,"Bheemineni Srinivas Ravi Teja, Kalyani, Rekha Vedavyas, Tanikella Bharani Action / Comedy"
sambaram,K. Dasaradh,"Nitin, Nikita Thukral, Giri Babu, Seetha",Romance,"K. Dasaradh Nitin, Nikita Thukral, Giri Babu, Seetha Romance"
city,Ambati Subhash,"Mukesh Udeshi, Swapna Reddy, Vaibhavi",Action,"Ambati Subhash Mukesh Udeshi, Swapna Reddy, Vaibhavi Action"
dhum,Raju Voopati,"Jagapati Babu, Chaitanya Krishna, Neha Mehta, Sonia Agarwal",Action,"Raju Voopati Jagapati Babu, Chaitanya Krishna, Neha Mehta, Sonia Agarwal Action"
seetayya,YVS Chowdhary,"Nandamuri Harikrishna, Simran, Soundarya, Vindhiya",Action,"YVS Chowdhary Nandamuri Harikrishna, Simran, Soundarya, Vindhiya Action"
toli choopulone,Kasi Viswanath,"Kalyan Ram, Akanksha, Charanraj, Sudeepa",Romance / Action,"Kasi Viswanath Kalyan Ram, Akanksha, Charanraj, Sudeepa Romance / Action"
srirama chandrulu,Srikanth,"Rajendra Prasad, Sivaji, Raasi, Rambha, Sindhu Menon, Brahmanandam, Kovai Sarala, Venu Madhav",Comedy,"Srikanth Rajendra Prasad, Sivaji, Raasi, Rambha, Sindhu Menon, Brahmanandam, Kovai Sarala, Venu Madhav Comedy"
ori nee prema bangaram kaanu,AVS,"Rajesh Krishnan, Sangeetha, Giri Babu, Bramhanandam",Romance,"AVS Rajesh Krishnan, Sangeetha, Giri Babu, Bramhanandam Romance"
satyam,Surya Kiran,"Sumanth, Genelia D'Souza, Brahmanandam, Kota Srinivasa Rao",Romance / Action,"Surya Kiran Sumanth, Genelia D'Souza, Brahmanandam, Kota Srinivasa Rao Romance / Action"
shambhu,R. Suresh Verma,"Aryan Rajesh, Sarika, Chandra Mohan, Venu Madhav, Prakash Raj, Sanghavi",Romance,"R. Suresh Verma Aryan Rajesh, Sarika, Chandra Mohan, Venu Madhav, Prakash Raj, Sanghavi Romance"
tiger harischandraprasad,V. Samudra,"Nandamuri Harikrishna, Ramya Krishna, Sangeetha, Kota Srinivasa Rao",Action,"V. Samudra Nandamuri Harikrishna, Ramya Krishna, Sangeetha, Kota Srinivasa Rao Action"
avuna,C. Uma Maheshwar Rao,"Adarsh, Santhi Rao, Kota Srinivasa Rao",Romance,"C. Uma Maheshwar Rao Adarsh, Santhi Rao, Kota Srinivasa Rao Romance"
neeke manasichaanu,Surya Teja,"Srikanth, Charmee Kaur, Anvithaa, Brahmanandam",Romance,"Surya Teja Srikanth, Charmee Kaur, Anvithaa, Brahmanandam Romance"
maa alludu very good,E V V Satyanarayana,"Rajendra Prasad, Allari Naresh, Ramya Krishna, Mounika, Kovai Sarala",Comedy,"E V V Satyanarayana Rajendra Prasad, Allari Naresh, Ramya Krishna, Mounika, Kovai Sarala Comedy"
nee manasu naaku telusu,Jyoti Krishna,"Tarun, Trisha Krishnan, Shriya Saran, Sunil, Reema Sen, Archana Puran Singh",Romance,"Jyoti Krishna Tarun, Trisha Krishnan, Shriya Saran, Sunil, Reema Sen, Archana Puran Singh Romance"
okariki okaru,Rasool,"Srikanth, Aarti Chabria, Balayya, Tanikella Bharani",Romance,"Rasool Srikanth, Aarti Chabria, Balayya, Tanikella Bharani Romance"
missamma,Neelakanta,"Bhoomika Chawla, Sivaji, Laya, Tanikella Bharani",Drama,"Neelakanta Bhoomika Chawla, Sivaji, Laya, Tanikella Bharani Drama"
back pocket,unknown,"Vijay Sai, Sony Raj, Suman, Lavanya, Preeti Nigam, Anant, Sudarshan, Jenny, Seema, Vinod Bala",Romance,"unknown Vijay Sai, Sony Raj, Suman, Lavanya, Preeti Nigam, Anant, Sudarshan, Jenny, Seema, Vinod Bala Romance"
nenu pelliki ready,Venky,"Srikanth, Laya, Sangeetha, Anitha Hassandani",Comedy,"Venky Srikanth, Laya, Sangeetha, Anitha Hassandani Comedy"
goa,P. Kishore Kumar,"Sumit Roy, Subhash Chandra, Krishna Teja",Drama,"P. Kishore Kumar Sumit Roy, Subhash Chandra, Krishna Teja Drama"
abhimanyu,A Mallikarjun,"Kalyan Ram, Divya Spandana, Suhasini, Sowcar Janaki, Ali",Romance,"A Mallikarjun Kalyan Ram, Divya Spandana, Suhasini, Sowcar Janaki, Ali Romance"
nenu seethamahalaxmi,G Nageshwara Reddy,"Rohith, Shravya, Chalapathi Rao",Romance,"G Nageshwara Reddy Rohith, Shravya, Chalapathi Rao Romance"
veede,Ravi Raja Pinisetty,"Ravi Teja, Reema Sen, Aarti Agarwal, Shayaji Shinde",Action,"Ravi Raja Pinisetty Ravi Teja, Reema Sen, Aarti Agarwal, Shayaji Shinde Action"
shivamani,Puri Jagannadh,"Akkineni Nagarjuna, Asin Thottumkal, Rakshita, Prakash Raj",Action,"Puri Jagannadh Akkineni Nagarjuna, Asin Thottumkal, Rakshita, Prakash Raj Action"
chantigadu,Jaya,"Baladithya, Suhasini, Saranya, Brahmanandam",Romance,"Jaya Baladithya, Suhasini, Saranya, Brahmanandam Romance"
villan,K. S. Ravikumar,"Rajasekhar, Neha Dhupia, Tulip Joshi, Naresh",Thriller / Action,"K. S. Ravikumar Rajasekhar, Neha Dhupia, Tulip Joshi, Naresh Thriller / Action"
kalyana ramudu,G. Ramprasad,"Venu Thottempudi, Prabhu Deva, Nikita Thukral, Suman, Sunil",Comedy / Drama,"G. Ramprasad Venu Thottempudi, Prabhu Deva, Nikita Thukral, Suman, Sunil Comedy / Drama"
vasantham,Vikraman,"Daggubati Venkatesh, Aarti Agarwal, Kalyani, Tanikella Bharani, Sunil",Drama,"Vikraman Daggubati Venkatesh, Aarti Agarwal, Kalyani, Tanikella Bharani, Sunil Drama"
raghavendra,Suresh Krissna,"Prabhas, Shweta Agarwal, Anshu, Brahmanandam, Murali Mohan",Action,"Suresh Krissna Prabhas, Shweta Agarwal, Anshu, Brahmanandam, Murali Mohan Action"
vijayam,Singeetham Srinivasa Rao,"Raja, Gajala, Sunil, Murali Mohan",Comedy,"Singeetham Srinivasa Rao Raja, Gajala, Sunil, Murali Mohan Comedy"
jodi no.1,Pratani Ramakrishna Goud,"Uday Kiran, Venya, Srija, Kaushal",Romance,"Pratani Ramakrishna Goud Uday Kiran, Venya, Srija, Kaushal Romance"
indiramma,Ammineni Madhava Sai,"Vijayashanti, Achyuth, Vijayakumar",Social,"Ammineni Madhava Sai Vijayashanti, Achyuth, Vijayakumar Social"
golmaal,P N Ramachandra Rao,"J. D. Chakravarthy, Neha, Ramesh Arvind, Meera Vasudevan, Giri Babu, Jayaprakash, Brahmanandam",Comedy,"P N Ramachandra Rao J. D. Chakravarthy, Neha, Ramesh Arvind, Meera Vasudevan, Giri Babu, Jayaprakash, Brahmanandam Comedy"
kabaddi kabaddi,Venki,"Jagapati Babu, Kalyani, Surya, Jeeva",Comedy / Romance,"Venki Jagapati Babu, Kalyani, Surya, Jeeva Comedy / Romance"
utsaham,Allani Sridhar,"Sai Kiran, Sunitha Varma, Amar",Romance,"Allani Sridhar Sai Kiran, Sunitha Varma, Amar Romance"
gangotri,K. Raghavendra Rao,"Allu Arjun, Aditi Agarwal, Suman, Prakash Raj",Romance,"K. Raghavendra Rao Allu Arjun, Aditi Agarwal, Suman, Prakash Raj Romance"
fools,Dasari Narayana Rao,"Srinath, Gajala, Jayasudha, Kovai Sarala",Comedy / Romance,"Dasari Narayana Rao Srinath, Gajala, Jayasudha, Kovai Sarala Comedy / Romance"
juniors,J. Pulla Rao,"Allari Naresh, Sherin, Pawan, Prakash Raj",Romance,"J. Pulla Rao Allari Naresh, Sherin, Pawan, Prakash Raj Romance"
pellam oorelithe,S. V. Krishna Reddy,"Srikanth, Venu, Rakshita, Sangeetha, Brahmanandam, Sunil",Comedy,"S. V. Krishna Reddy Srikanth, Venu, Rakshita, Sangeetha, Brahmanandam, Sunil Comedy"
okkadu,Gunasekhar,"Mahesh Babu, Bhoomika Chawla, Prakash Raj, Ashish Vidyarthi",Action / Romance,"Gunasekhar Mahesh Babu, Bhoomika Chawla, Prakash Raj, Ashish Vidyarthi Action / Romance"
ee abbai chala manchodu,Agathiyan,"Ravi Teja, Sangeetha, Vani",Drama,"Agathiyan Ravi Teja, Sangeetha, Vani Drama"
evare athagadu,Bhanu Shankar,"Vallabh, Jaya Seal, Priyamani, Brahmanandam",Romance,"Bhanu Shankar Vallabh, Jaya Seal, Priyamani, Brahmanandam Romance"
naaga,D. K. Suresh,"Jr. NTR, Sadha, Jennifer, Raghuvaran, Nassar",Action,"D. K. Suresh Jr. NTR, Sadha, Jennifer, Raghuvaran, Nassar Action"
praanam,Malli,"Allari Naresh, Sadha, Seetha, M. S. Narayana, Kovai Sarala",Romance,"Malli Allari Naresh, Sadha, Seetha, M. S. Narayana, Kovai Sarala Romance"
ammayilu abbayilu,Ravi Babu,"Vijay, Mohit, Vidya, Sonu Sood, Devina, Swapna Madhuri",Romance,"Ravi Babu Vijay, Mohit, Vidya, Sonu Sood, Devina, Swapna Madhuri Romance"
hari villu,B. Narsing Rao,"Bhanuchander, Haritha, Master Sai Subhakar, Baby Nitya",Drama,"B. Narsing Rao Bhanuchander, Haritha, Master Sai Subhakar, Baby Nitya Drama"
